id;state;year;legal
26;Michigan;2021;Yes
27;Minnesota;2021;No
28;Mississippi;2021;No
29;Missouri;2021;No
30;Montana;2021;Yes
31;Nebraska;2021;No
32;Nevada;2021;Yes
33;New Hampshire;2021;No
34;New Jersey;2021;Yes
35;New Mexico;2021;Yes
36;New York;2021;Yes
37;North Carolina;2021;No
38;North Dakota;2021;No
39;Ohio;2021;No
40;Oklahoma;2021;No
41;Oregon;2021;Yes
42;Pennsylvania;2021;No
44;Rhode Island;2021;No
45;South Carolina;2021;No
46;South Dakota;2021;No
47;Tennessee;2021;No
48;Texas;2021;No
49;Utah;2021;No
50;Vermont;2021;Yes
51;Virginia;2021;Yes
53;Washington;2021;Yes
54;West Virginia;2021;No
55;Wisconsin;2021;No
56;Wyoming;2021;No
1;Alabama;2022;No
2;Alaska;2022;Yes
4;Arizona;2022;Yes
5;Arkansas;2022;No
6;California;2022;Yes
8;Colorado;2022;Yes
9;Connecticut;2022;Yes
10;Delaware;2022;No
12;Florida;2022;No
13;Georgia;2022;No
15;Hawaii;2022;No
16;Idaho;2022;No
17;Illinois;2022;Yes
18;Indiana;2022;No
19;Iowa;2022;No
20;Kansas;2022;No
21;Kentucky;2022;No
22;Louisiana;2022;No
23;Maine;2022;Yes
24;Maryland;2022;Yes
25;Massachusetts;2022;Yes
26;Michigan;2022;Yes
27;Minnesota;2022;No
28;Mississippi;2022;No
29;Missouri;2022;Yes
30;Montana;2022;Yes
31;Nebraska;2022;No
32;Nevada;2022;Yes
33;New Hampshire;2022;No
34;New Jersey;2022;Yes
35;New Mexico;2022;Yes
36;New York;2022;Yes
37;North Carolina;2022;No
38;North Dakota;2022;No
39;Ohio;2022;No
40;Oklahoma;2022;No
41;Oregon;2022;Yes
42;Pennsylvania;2022;No
44;Rhode Island;2022;Yes
45;South Carolina;2022;No
46;South Dakota;2022;No
47;Tennessee;2022;No
48;Texas;2022;No
49;Utah;2022;No
50;Vermont;2022;Yes
51;Virginia;2022;Yes
53;Washington;2022;Yes
54;West Virginia;2022;No
55;Wisconsin;2022;No
56;Wyoming;2022;No
